id	smiles
CCMSLIB00000001570_train	CCCCCCCCCCCCCC(=NC(C)(C)C(=O)N1C[C@H](CC1C(=N[C@@H](CC(C)C)C(=N[C@@H](C(C)C)C(=N[C@@H](CCC(=N)O)C(=N[C@@H](CC(C)C)CO)O)O)O)O)O)O
CCMSLIB00000001598_train	CCCCCCCCCCCCCC(=NC(C)(C)C(=O)N1CCCC1C(=N[C@@H](CC(C)C)C(=N[C@@H](C(C)C)C(=N[C@@H](CCC(=N)O)C(=N[C@@H](CC(C)C)CO)O)O)O)O)O
CCMSLIB00000001606_train	CCCCCC[C@H](C)[C@@H]1[C@@H](C)C(=NCC(=N[C@@H](C(C)C)C(=N[C@@H](CC(C)C)C(=N[C@@H](C)C(=N[C@@H](C)C(=O)O1)O)O)O)O)O
CCMSLIB00000001621_train	C1CCN=C(CCC(=O)N(CCCCCN=C(CCC(=O)N(CCCCCN=C(CCC(=O)N(CC1)O)O)O)O)O)O
CCMSLIB00000001623_train	C[C@H]1C[C@@H]2CCCCCCCc3ccc([C@H]2[C@]2([C@@H](C/C(=C/4\C=CC=N4)/N2)OC)O1)[nH]3
CCMSLIB00000001631_train	CC(C)CC1C(=O)N2CC(CC2C(=O)N(C)CC(=O)N(C)C(C(C)C(C)C)C(=NC(C)C(=O)N(C)C(c2ccccc2)C(=O)OC(C)C(C(=N1)O)N=C(c1c(cccn1)O)O)O)O
CCMSLIB00000001635_train	C[C@H]1C=CC=C(C)C(=NC2=CC(=O)c3c(C(=O)C(=C[C@H](CO)[C@@H]([C@@H](C)[C@H]([C@H](C)[C@@H]([C@H](C)[C@H]1O)O)O)O)C)c(c(C)c(c3C2=O)O)O)O
CCMSLIB00000001641_train	C[C@@H](/C=C/C=C(/C)\C(=N)O)[C@@H]([C@@H](C)[C@H]([C@@H](C)[C@H]1[C@H](C)[C@H]2CC[C@@](C)(O2)O1)O)O
CCMSLIB00000001645_train	COc1cc([C@@H]2[C@@]3(C[C@@H]4C([C@]2([C@H](C(=O)c2ccccc2)[C@]3(C(=O)O4)O)O)O)O)oc(=O)c1
CCMSLIB00000001653_train	C[C@H]1C=CC=C(C)C(=NC2=CC(=O)c3c(c(c(C)c4c3C(=O)[C@@](C)(OC=C[C@@H]([C@@H](C)[C@H]([C@H](C)[C@@H]([C@H](C)[C@H]1O)O)OC(=O)C)OC)O4)O)C2=O)O
CCMSLIB00000001655_train	C[C@]12[C@@H]([C@@H](CC(n3c4ccccc4c4c5c(CN=C5O)c5c6ccccc6n1c5c34)O2)NC)OC
CCMSLIB00000001680_train	C[C@@H](/C=C/C=C(/CO)\C(=N)O)[C@@H]([C@@H](C)[C@H]([C@@H](C)[C@H]1[C@H](C)[C@H]2CC[C@@](C)(O2)O1)O)O
CCMSLIB00000004221_train	CCN[C@H]1C[C@H](C)S(=O)(=O)c2c1cc(s2)S(=O)(=O)N
CCMSLIB00000004248_train	C[C@H]1C[C@H]2[C@@H]3CC[C@](C(=O)CO)([C@@]3(C)C[C@@H]([C@@H]2[C@@]2(C)C=CC(=O)C=C12)O)O
CCMSLIB00000004258_train	C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](c1ccnc2ccc(cc12)OC)O
CCMSLIB00000004282_train	CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(=O)O
CCMSLIB00000004303_train	C1CN(CCCl)P(=O)(NCCCl)OC1
CCMSLIB00000004311_train	COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N
CCMSLIB00000004358_train	CCCN[C@H]1CCc2c(C1)sc(=N)[nH]2
CCMSLIB00000004375_train	Cc1cc2=C(Nc3ccccc3N=c2s1)N1CCN(C)CC1
CCMSLIB00000004379_train	CN(CCOc1ccc(cc1)CC1C(=NC(=O)S1)O)c1ccccn1
CCMSLIB00000004380_train	CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@H](C[C@]3(C)[C@]2(C(=O)CO)O1)O
CCMSLIB00000004419_train	CN(C)CC(c1ccc(cc1)OC)C1(CCCCC1)O
CCMSLIB00000004456_train	Cc1c(cno1)C(=O)Nc1ccc(cc1)C(F)(F)F
CCMSLIB00000004457_train	C[C@]1(c2cccc(c2C(=C2[C@@H]1[C@@H]([C@H]1[C@@H](C(=O)C(=C([C@]1(C2=O)O)O)C(=N)O)N(C)C)O)O)O)O
CCMSLIB00000004467_train	CC1CN(CCN1)c1c(cc2c(c1OC)n(cc(c2=O)C(=O)O)C1CC1)F
CCMSLIB00000004469_train	C[C@]12CCC(=O)C=C1C[C@H]([C@H]1[C@@H]3CC[C@@]4(CCC(=O)O4)[C@@]3(C)C[C@@H]3[C@]21O3)C(=O)OC
CCMSLIB00000004490_train	C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](C(=O)CO)([C@@]3(C)C[C@@H]([C@H]21)O)O
CCMSLIB00000004500_train	CC(C)NCC(c1ccc(cc1)NS(=O)(=O)C)O
CCMSLIB00000004518_train	COc1ccccc1N1CCN(CC1)CC(COc1cccc2ccccc12)O
CCMSLIB00000004528_train	Cc1ccccc1N1C(C)Nc2cc(c(cc2C1=O)S(=O)(=O)N)Cl
CCMSLIB00000004544_train	C=CC1=C(C(=O)O)N2C(=O)[C@H]([C@H]2SC1)N=C(/C(=N\O)/c1csc(=N)[nH]1)O
CCMSLIB00000004551_train	CCCNC(C)C(=Nc1ccccc1C)O
CCMSLIB00000004572_train	Cc1ccc(C)c(c1)OCCCC(C)(C)C(=O)O
CCMSLIB00000004580_train	CCc1c(c2ccc(cc2)Cl)c(N)[nH]c(=N)n1
CCMSLIB00000004601_train	CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)c1c[nH]c2ccccc12
CCMSLIB00000004630_train	C/C(=C\Cc1c(c2c(COC2=O)c(C)c1OC)O)/CCC(=O)OCCN1CCOCC1
CCMSLIB00000004640_train	CC(C)(C)N=C([C@H]1CC[C@H]2[C@@H]3CC[C@@H]4[C@](C)(C=CC(=N4)O)[C@H]3CC[C@]12C)O
CCMSLIB00000004652_train	Cc1cccc(C)c1N=C(CN1CCCC1=O)O
CCMSLIB00000004677_train	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@]3([C@H](C[C@]2(C)[C@]1(C(=O)CO)O)O)F
CCMSLIB00000004692_train	C[C@@H]1CC=CC=CC=CC=C[C@@H](C[C@H]2[C@@H]([C@H](C[C@](C[C@H](C[C@@H]3[C@@H](C=CC(=O)O1)O3)O)(O)O2)O)C(=O)O)O[C@H]1[C@H]([C@H]([C@@H]([C@@H](C)O1)O)N)O
CCMSLIB00000004706_train	CC(=O)c1ccc(c(c1)OC)OCCCN1CCC(CC1)c1c2ccc(cc2on1)F
